sample_id,session_id,turn,pack,gt_track,gt_artist,current_user,protected20,protected50,protected100,branch20,branch50,branch100,add20,add50,add100,best_variant,best_branch,best_rank,state_request_type,state_request_summary,state_target_artist_mode,state_retrieval_profile,state_facts_targets,state_facts_attrs,state_facts_refs,state_facts_rejected,state_lyrical_theme,state_temporal,state_referenced_track_ids,failure_reason
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78,3,P0_novelty_prior_anchor_failure,Gib ihn einfach (Dies das 2),Ghanaian Stallion,"Yes, this is exactly the kind of sound I was looking for! ""Welcome To Jamrock"" is a classic. That definitely fits the ""defined an era"" vibe. Can you give me another track that has that timeless, era-defining feeling, maybe an old-school hip-hop gem this time?",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,101,attribute_search,"An old-school hip-hop track with a timeless, era-defining feeling; Damian Marley jamrock style is satisfied context.",unknown,feature_search,attribute:genre:old-school hip-hop; attribute:mood:timeless era-defining,,track:Welcome To Jamrock; artist:Damian Marley,,,,,popularity_by_scene_query_gap
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,8dc4c630-8369-4720-b379-2a7dcd8d34aa,7,P0_novelty_prior_anchor_failure,Transcentience,Animals As Leaders,This is excellent! The melodic technicality of Allegaeon is exactly the kind of balance I was looking for. Can you suggest something else that leans into orchestral or symphonic elements alongside the technicality?,False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,102,attribute_search,"Something that leans into orchestral or symphonic elements alongside technicality, similar to the experimental complexity found but now with a more melodic/atmospheric edge.",unknown,feature_search,attribute:sonic:technical; attribute:sonic:orchestral; attribute:sonic:symphonic; attribute:sonic:melodic; attribute:sonic:atmospheric,,track:Testimonial Ruins; artist:Gorguts; track:The Cleansing; artist:Allegaeon,,,,,scene_subculture_or_genre_query_gap
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,9b9b7c6b-b376-4d6b-8716-aa7cf0127322,4,P0_roleless_stale_entity_failure,The Carbon Stampede,Cattle Decapitation,"Suffocation is always a solid listen, but I'm really looking to discover some *new* bands. Can you suggest some more recent acts that are making waves in the technical or progressive death metal scene? I'm open to anything that's pushing the envelope.",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,centroid.anchor_tracks.cf_bpr,108,new_artist,Discover new/some more recent acts in the technical or progressive death metal scene that are pushing the envelope.,new_artist,novelty,attribute:era:recent; attribute:genre:technical death metal; attribute:genre:progressive death metal; attribute:energy:pushing the envelope,,artist:Brain Drill; artist:Suffocation,,,,,visual_cover_art_source_gap
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,67b9ba8a-382f-4b70-af76-576848d8cf67,8,P1_temporal_constraint_failure,Gangsta Gangsta,N.W.A.,"DMX is a beast! ""Where The Hood At"" is definitely a raw, aggressive banger and fits that dark, intense vibe perfectly. You nailed it with these last few tracks. Thanks for the awesome recommendations! Can you suggest another track that's just pure, unfilter...",False,False,False,False,False,False,False,False,False,qwen8_metadata_intent,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,138,attribute_search,"Pure unfiltered raw aggressive track with dark intense gritty beats and horrorcore-influenced lyrics, late 90s/early 2000s East Coast underground style.",unknown,feature_search,attribute:lyrical_theme:raw aggression; attribute:mood:dark and intense; attribute:sonic:gritty beats; attribute:lyrical_theme:horrorcore-influenced lyrics; attribute:genre:East Coast underground,,track:Butcher Knife Bloodbath; track:Where The Hood At; artist:Jedi Mind Tricks; artist:DMX,,horrorcore-influenced,"{""apply_as_filter"": false, ""end_year"": 2003, ""evidence_text"": ""late 90s/early 2000s"", ""kind"": ""style_era"", ""start_year"": 1997, ""strength"": ""soft""}",,lyric_or_theme_source_gap
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,b466a64b-b3cc-4c62-8a70-8261434f915f,2,P0_new_artist_union20_gap_failure,Two To Make It Right,Seduction,Yes! 'Finally' by CeCe Peniston! That's exactly the track I was trying to remember. Spot on! 'Finally' is it. Can you suggest other iconic 90s dance hits similar to this one?,False,False,False,False,False,False,False,False,False,centroid_audio,centroid.anchor_tracks.audio_laion_clap,158,attribute_search,"Other iconic 90s dance hits with similar energetic, dance-worthy feel to 'Finally'.",unknown,feature_search,attribute:popularity:iconic; attribute:era:1990s; attribute:genre:dance; attribute:energy:energetic; attribute:mood:dance-worthy,,track:Finally; artist:CeCe Peniston,,,"{""apply_as_filter"": false, ""end_year"": 1999, ""evidence_text"": ""90s dance hits"", ""kind"": ""style_era"", ""start_year"": 1990, ""strength"": ""soft""}",b61f3ba5-35f8-4685-92b7-a5f49cb20fc1,popularity_by_scene_query_gap
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a,4,P0_new_artist_union20_gap_failure,Goodbye Pork Pie Hat,Charles Mingus,"That was a fantastic, energetic piece! The swing was just what I was looking for. I'm really getting a good sense of the range of classic jazz. To round out this exploration, could we try something that perhaps feels a bit more bluesy or soulful, but still...",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,165,attribute_search,"A classic jazz piece that feels bluesy or soulful, rounding out the exploration of different moods.",unknown,feature_search,attribute:genre:classic jazz; attribute:mood:bluesy; attribute:mood:soulful,,artist:Chet Baker; artist:Django Reinhardt,,,,,popularity_by_scene_query_gap
88beb200-0334-4aba-be15-8e1303725766::t6,88beb200-0334-4aba-be15-8e1303725766,6,P0_novelty_prior_anchor_failure,Used To,"Lil Wayne, Drake","Legend"" is a classic, no doubt! I'm good on Drake for now though. I was hoping for some popular Hip-Hop tracks from *other artists* around late 2015 to early 2016. Any major hits from that period by someone different?",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,dense.clap_text.sonic.audio_laion_clap,175,new_artist,Popular hip-hop hits from late 2015 to early 2016 by artists other than Drake.,new_artist,novelty,attribute:genre:hip-hop; attribute:popularity:popular; attribute:popularity:major hits,,artist:PARTYNEXTDOOR,artist:Drake,,"{""apply_as_filter"": true, ""end_year"": 2016, ""evidence_text"": ""late 2015 to early 2016"", ""kind"": ""release_date"", ""start_year"": 2015, ""strength"": ""hard""}",,visual_cover_art_source_gap
9468e467-d396-461b-be29-b30b6cf87c35::t5,9468e467-d396-461b-be29-b30b6cf87c35,5,P1_temporal_constraint_failure,Midnight,A Tribe Called Quest,"Yes! ""Blinded By The Lights"" is exactly the track I was trying to recall! That's the one! You totally nailed it with that recommendation. Thanks so much! Now that you've found that one for me, can you recommend some other tracks that have a similar kind of...",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,179,similar_to_prior,"Other tracks like 'Blinded By The Lights' by The Streets, capturing its atmospheric, late-night, spoken-word storytelling style.",unknown,continuation,attribute:sonic:atmospheric; attribute:mood:night-time city walk; attribute:sonic:spoken-word storytelling; attribute:genre:early 2000s UK sound,,track:Blinded By The Lights; artist:The Streets,,,"{""apply_as_filter"": false, ""end_year"": 2004, ""evidence_text"": ""early 2000s UK sound"", ""kind"": ""style_era"", ""start_year"": 2000, ""strength"": ""soft""}","804d9bb1-e075-4f5b-9046-8715a048f11e,22888202-f335-420c-9462-24e438c74f97",lyric_or_theme_source_gap
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,c4c0c288-dbcd-4970-ad52-901aafe91b88,4,P1_temporal_constraint_failure,I Juswanna Chill,Large Professor,"These selections are spot on for that underground 90s hip-hop sound. Exactly what I wanted! What else is out there that I might like with a similar vibe, maybe from other artists but still with that golden age jazzy feel?",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,228,new_artist,"Other artists from the golden age with a jazzy hip-hop feel, preserving the underground 90s style.",new_artist,novelty,attribute:genre:jazzy hip-hop; attribute:genre:golden age hip-hop; attribute:genre:underground 90s hip-hop,,artist:A Tribe Called Quest; track:Electric Relaxation; track:Award Tour,,,"{""apply_as_filter"": false, ""end_year"": 1999, ""evidence_text"": ""golden age"", ""kind"": ""style_era"", ""start_year"": 1985, ""strength"": ""soft""}",,visual_cover_art_source_gap
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,78cdaccb-0f9b-4876-80b1-c20bf0b444e6,8,P0_roleless_stale_entity_failure,In the Shadows,The Rasmus,"Yes! Guano Apes! I love this song, it's so powerful. The vocalist is amazing. Do you have any other powerful rock songs, maybe with a really strong guitar riff?",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,centroid.anchor_tracks.audio_laion_clap,237,attribute_search,"Other powerful rock songs with a strong guitar riff, with Guano Apes as satisfied context.",unknown,feature_search,attribute:genre:rock; attribute:energy:powerful; attribute:sonic:strong guitar riff,,artist:Guano Apes; track:Big in Japan,,,,,retriever_source_or_query_gap
41367174-552b-4117-9caa-d0ba1b307d37::t2,41367174-552b-4117-9caa-d0ba1b307d37,2,P0_roleless_stale_entity_failure,Mercy,Muse,"Yes! Twenty One Pilots is a great choice, ""Stressed Out"" totally has that powerful vibe I'm looking for. Can you recommend a few more songs or artists from the 2000s or 2010s that have a similar intense and emotional alternative rock sound, maybe with a str...",False,False,False,False,False,False,False,False,False,era_tag_popularity,analysis.era_tag_popularity,239,new_artist,"Artists from the 2000s or 2010s with a similar intense and emotional alternative rock sound, using Twenty One Pilots as satisfied context and My Chemical Romance/Foo Fighters as style references.",new_artist,novelty,attribute:genre:alternative rock; attribute:mood:intense; attribute:mood:emotional; attribute:era:2000s or 2010s,,artist:My Chemical Romance; artist:Foo Fighters; artist:Twenty One Pilots,,,"{""apply_as_filter"": false, ""end_year"": 2019, ""evidence_text"": ""from the 2000s or 2010s"", ""kind"": ""style_era"", ""start_year"": 2000, ""strength"": ""soft""}",,visual_cover_art_source_gap
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,907921a3-d08f-4ba1-8cce-0e760a9e7044,7,P0_new_artist_union20_gap_failure,Sunrise - Slow Hands Remix,Kasper Bjørke,"This one has a cool electronic sound and it's definitely emotional. But I'm still looking for that really strong, direct ""plea"" or ""begging"" in the lyrics, like in ""Iris,"" but for electronic songs. Do you have any tracks that really hit that direct lyrical...",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,centroid.anchor_tracks.cf_bpr,256,attribute_search,"Electronic songs with a direct, intense plea or begging in the lyrics, similar in style to Men I Trust but with stronger direct plea language.",unknown,feature_search,artist:Men I Trust; attribute:genre:electronic; attribute:lyrical_theme:direct intense plea; attribute:lyrical_theme:begging,,,,direct intense plea,,,lyric_or_theme_source_gap
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,d9a65836-7165-45bf-aa3e-3ef7ba5d073a,2,P0_roleless_stale_entity_failure,Move Along,The All-American Rejects,"That's a good one, it totally brings back early 2000s pop-punk! It's got the energy, but I'm looking for something that feels a bit more... not quite heavier, but with a stronger angsty feel. Still from that early 2000s pop-punk or alternative rock vibe, ma...",False,False,False,False,False,False,False,False,False,tag_popularity_alias,analysis.tag_popularity_alias,270,attribute_search,"An early 2000s pop-punk or alternative rock track with a stronger angsty feel, without being too heavy.",unknown,feature_search,artist:pop-punk; attribute:genre:alternative rock; attribute:era:early 2000s; attribute:mood:angsty; attribute:energy:energetic,,,attribute:sonic:heavier,,"{""apply_as_filter"": false, ""end_year"": 2003, ""evidence_text"": ""early 2000s pop-punk"", ""kind"": ""style_era"", ""start_year"": 1999, ""strength"": ""soft""}",,scene_subculture_or_genre_query_gap
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77,6,P0_new_artist_union20_gap_failure,Hong Kong 2046,Hong Kong Express,"Oh, Flying Lotus! This is cool, it's got a really interesting mix of sounds. It's like electronic but also soulful, very unique. What else have you got that's really out there?",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,279,attribute_search,"What else that is really unique/out-there, electronic, and soulful; keep the discovery journey going.",unknown,feature_search,track:unique and out-there; attribute:genre:electronic; attribute:sonic:soulful; attribute:sonic:interesting mix of sounds,,,,,,,visual_cover_art_source_gap
324ddfb5-8a18-4729-9acb-c851907a297c::t3,324ddfb5-8a18-4729-9acb-c851907a297c,3,P0_new_artist_union20_gap_failure,Acknowledge,Masta Ace,"Yeah, that Dead Prez track is fire! Super authentic and exactly the kind of vibe I'm into from that era. What else hits like that? Maybe some more underground stuff from the late 90s or early 2000s?",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.clap_text.sonic_nl.audio_laion_clap,333,attribute_search,"More underground, classic, raw hip-hop from the late 90s or early 2000s with an authentic vibe.",unknown,feature_search,attribute:genre:raw hip-hop; attribute:genre:underground hip-hop; attribute:popularity:classic; attribute:mood:authentic vibe; attribute:era:late 90s or early 2000s,,"track:Shook Ones, Pt. II; artist:Mobb Deep; track:Hip Hop; artist:Dead Prez",,,"{""apply_as_filter"": false, ""end_year"": 2004, ""evidence_text"": ""late 90s or early 2000s"", ""kind"": ""style_era"", ""start_year"": 1997, ""strength"": ""soft""}",,popularity_by_scene_query_gap
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,a33a5df0-2c2b-429c-84e6-cde28affd4d5,6,P1_temporal_constraint_failure,Thriller,Fall Out Boy,"You're doing so well with Panic! At The Disco and the emotional vibe! ""Always"" is a great song, but it's still not the one that screams ""mid-2000s emo phase"" to me. The track I'm thinking of is definitely from their first album, ""A Fever You Can't Sweat Out...",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,bm25,342,hidden_target,"Find the mid-2000s Panic! At The Disco track from A Fever You Can't Sweat Out with a dramatic, driving sound and lyrics about a messy breakup or angst.",unknown,hidden_target_search,artist:Panic! At The Disco; album:A Fever You Can't Sweat Out; attribute:genre:mid-2000s emo; attribute:sonic:dramatic driving sound; attribute:lyrical_theme:messy breakup angst,,,,messy breakup angst,"{""apply_as_filter"": false, ""end_year"": 2007, ""evidence_text"": ""mid-2000s"", ""kind"": ""style_era"", ""start_year"": 2004, ""strength"": ""soft""}",,lyric_or_theme_source_gap
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,e978bb5b-26af-4c7d-b720-b9210bdddf25,8,P1_temporal_constraint_failure,Dear Yvette,"Jane Doe, Masta Ace","Make My"" is a strong track and Black Thought's lyrics are always on point, but I'm really trying to branch out from The Roots and Masta Ace for a bit. Can you definitely give me a narrative-driven track from a *different* classic 90s East Coast artist, like...",False,False,False,False,False,False,False,False,False,current_config,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,447,new_artist,"A narrative-driven track from a different classic 90s East Coast hip-hop artist, branching out from The Roots and Masta Ace.",new_artist,novelty,attribute:lyrical_theme:narrative-driven; attribute:genre:East Coast hip-hop; attribute:era:1990s; attribute:popularity:classic,,,artist:Masta Ace; artist:The Roots,narrative-driven,"{""apply_as_filter"": false, ""end_year"": 1999, ""evidence_text"": ""classic 90s"", ""kind"": ""style_era"", ""start_year"": 1990, ""strength"": ""soft""}",,lyric_or_theme_source_gap
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,380a5ed5-3eb9-4201-8fa6-81381a583bf5,3,P0_novelty_prior_anchor_failure,God Hates a Coward,Tomahawk,"Yes! Mr. Bungle! That's exactly the band I was trying to remember. ""Violenza Domestica"" is definitely a great example of their sound. Thanks! Now that we found them, what else could you recommend that has a similar experimental, genre-bending vibe, maybe wi...",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,bm25,820,new_artist,"Other experimental genre-bending rock from the 90s with avant-garde theatrical energy, using Mr. Bungle as a style reference but different artists.",new_artist,novelty,attribute:genre:experimental genre-bending; attribute:mood:avant-garde theatrical; attribute:energy:high energy,,artist:Mr. Bungle,,,,,visual_cover_art_source_gap
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc,8,P0_new_artist_union20_gap_failure,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,"Dude, 'The Ultimate Showdown of Ultimate Destiny' is awesome! That song is a classic, the story is just so over-the-top and hilarious. You really crushed it with these meme and goofy song recommendations! Thanks! What else you got for me? Maybe something mo...",False,False,False,False,True,True,False,True,True,all_candidate_recall,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,22,attribute_search,A funny meme song that tells an absurd or unexpected story with characters.,unknown,feature_search,attribute:genre:meme song/goofy; attribute:lyrical_theme:absurd story with characters; attribute:popularity:famous viral; attribute:sonic:catchy vocal hook,,,,absurd story with characters,,,target_in_21_50_tail_branch_ordering
daeef24e-b041-4140-9101-882820c63408::t7,daeef24e-b041-4140-9101-882820c63408,7,P0_novelty_prior_anchor_failure,The Analog Kid,Rush,"Okay, it sounds like there's a problem with 'Tom Sawyer'. That's a bummer. Can you please play 'The Spirit of Radio' by Rush instead?",False,False,False,False,True,True,False,True,True,qwen8_metadata_intent,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,24,exact_track,Play 'The Spirit of Radio' by Rush as a replacement for 'Tom Sawyer'.,unknown,exact_probe,track:The Spirit of Radio; artist:Rush,,,track:Tom Sawyer,,,,target_in_21_50_tail_branch_ordering
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,3676005d-5b7c-4c48-9b73-3e10dd509c07,1,P1_temporal_constraint_failure,Breath and Life,Audiomachine,"I'm trying to remember a really powerful, orchestral song from the early 2000s, like something from a movie score.",False,False,False,False,True,True,False,True,True,all_candidate_branch_rules,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,26,hidden_target,"Find a powerful, orchestral song from the early 2000s, like something from a movie score.",unknown,hidden_target_search,attribute:sonic:powerful orchestral; attribute:sonic:like something from a movie score; attribute:era:early 2000s,,,,,"{""apply_as_filter"": false, ""end_year"": 2005, ""evidence_text"": ""early 2000s"", ""kind"": ""style_era"", ""start_year"": 2000, ""strength"": ""soft""}",,target_in_21_50_tail_branch_ordering
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,10a15ba2-4126-4ae4-ac6c-dc170735ae9e,7,P0_roleless_stale_entity_failure,I Can't Go to Sleep,Wu-Tang Clan,"This is exactly the kind of intricate storytelling I'm digging into. The way Kendrick builds a narrative and develops characters, with the music itself being a part of that journey, is just next level. 'untitled 03' definitely has that layered depth. Keep '...",False,False,False,False,True,True,False,True,True,qwen06_clap_centroid_branch_rules,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,27,same_artist,"More Kendrick Lamar tracks with intricate storytelling, narrative, character development, and music that is a vital part of the journey.",same_artist,continuation,artist:Kendrick Lamar; attribute:lyrical_theme:intricate storytelling; attribute:lyrical_theme:narrative and character development; attribute:sonic:music is part of the journey,,track:DUCKWORTH.,,intricate storytelling narrative and character development,,,target_in_21_50_tail_branch_ordering
