sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,current_config,S&M,Rihanna,134,134,40,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,15,False,True,True,True,True,False,False,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,current_config,Used To,"Lil Wayne, Drake",,996,258,dense.clap_text.sonic.audio_laion_clap,13,False,False,False,False,True,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,current_config,The Analog Kid,Rush,333,333,72,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,12,False,False,True,True,True,False,False,False,False,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,current_config,Transcentience,Animals As Leaders,,,103,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,15,False,False,False,True,True,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,current_config,God Hates a Coward,Tomahawk,243,252,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,15,True,True,True,True,True,False,False,False,False,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,current_config,Redneck Yacht Club,Craig Morgan,41,76,55,dense.clap_text.sonic_nl.audio_laion_clap,16,False,False,True,True,True,False,True,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,current_config,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,31,65,9,lookup.era_popularity,16,True,True,True,True,True,False,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,current_config,Woo Hah!! Got You All In Check,Busta Rhymes,175,215,18,centroid.anchor_tracks.audio_laion_clap,16,True,True,True,True,True,False,False,False,True,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,current_config,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",10,8,1,centroid.anchor_tracks.audio_laion_clap,16,True,True,True,True,True,True,True,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,current_config,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,15,False,False,False,True,True,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,current_config_state_features,Give It To Me Baby,Rick James,239,363,68,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,32,False,False,True,True,True,False,False,False,False,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,current_config_state_features,Test Drive,John Powell,340,337,71,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b.state_features,30,False,False,True,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,current_config_state_features,Armature,Emptyset,97,95,12,dense.clap_text.sonic.audio_laion_clap,30,True,True,True,True,True,False,False,True,True,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features,Mercy,Muse,,,79,centroid.anchor_tracks.audio_laion_clap.state_features,32,False,False,True,True,True,False,False,False,False,False
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,current_config_state_features,I Can't Go to Sleep,Wu-Tang Clan,,,34,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,34,False,True,True,True,True,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,current_config_state_features,The Carbon Stampede,Cattle Decapitation,155,158,39,dense.clap_text.sonic_nl.audio_laion_clap.state_features,30,False,True,True,True,True,False,False,False,True,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features,Shaft,Kashmere Stage Band,,,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,26,False,True,True,True,True,False,False,False,False,False
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,current_config_state_features,In the Shadows,The Rasmus,,,600,centroid.anchor_tracks.audio_laion_clap.state_features,30,False,False,False,False,True,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features,I Believe in a Thing Called Love,The Darkness,,,,,28,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features,Move Along,The All-American Rejects,121,180,52,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b.state_features,32,False,False,True,True,True,False,False,False,True,True
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features,S&M,Rihanna,145,145,40,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,30,False,True,True,True,True,False,False,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_features,Used To,"Lil Wayne, Drake",,,258,dense.clap_text.sonic.audio_laion_clap,26,False,False,False,False,True,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_features,The Analog Kid,Rush,118,118,16,dense.qwen_8b.intent.metadata_qwen3_embedding_8b.state_features,24,True,True,True,True,True,False,False,False,True,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_features,Transcentience,Animals As Leaders,,,103,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,30,False,False,False,True,True,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features,God Hates a Coward,Tomahawk,121,125,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,30,True,True,True,True,True,False,False,False,True,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_features,Redneck Yacht Club,Craig Morgan,54,59,39,dense.clap_text.sonic_nl.audio_laion_clap.state_features,32,False,True,True,True,True,False,False,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,26,36,9,lookup.era_popularity,32,True,True,True,True,True,False,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,current_config_state_features,Woo Hah!! Got You All In Check,Busta Rhymes,334,347,18,centroid.anchor_tracks.audio_laion_clap,32,True,True,True,True,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_features,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",86,68,1,centroid.anchor_tracks.audio_laion_clap,32,True,True,True,True,True,False,False,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features,Gib ihn einfach (Dies das 2),Ghanaian Stallion,994,994,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,30,False,False,False,True,True,False,False,False,False,True
