sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000,protected_best_branch,protected_best_branch_rank,branch_only_best_branch,branch_only_best_branch_rank,additive_best_branch,additive_best_branch_rank,protected_union@20,protected_union@50,protected_union@100,branch_only@20,branch_only@50,branch_only@100,additive_union@20,additive_union@50,additive_union@100
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,S&M,Rihanna,142,142,29,analysis.tag_popularity_alias,23,False,True,True,True,True,False,False,False,True,True,,,analysis.tag_popularity_alias,29,analysis.tag_popularity_alias,29,False,False,False,False,True,True,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Used To,"Lil Wayne, Drake",,,14,analysis.same_album_fanout,21,True,True,True,True,True,False,False,False,False,False,,,analysis.same_album_fanout,14,analysis.same_album_fanout,14,False,False,False,True,True,True,True,True,True
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,The Analog Kid,Rush,393,393,70,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,20,False,False,True,True,True,False,False,False,False,True,,,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,70,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,70,False,False,False,False,False,True,False,False,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Transcentience,Animals As Leaders,,,100,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,23,False,False,True,True,True,False,False,False,False,False,,,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,100,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,100,False,False,False,False,False,True,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,God Hates a Coward,Tomahawk,252,261,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,23,True,True,True,True,True,False,False,False,False,True,,,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,1,False,False,False,True,True,True,True,True,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Redneck Yacht Club,Craig Morgan,43,80,1,analysis.scene_era_tag_popularity_v2,24,True,True,True,True,True,False,True,True,True,True,,,analysis.scene_era_tag_popularity_v2,1,analysis.scene_era_tag_popularity_v2,1,False,False,False,True,True,True,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,33,46,4,analysis.era_tag_popularity,24,True,True,True,True,True,False,True,True,True,True,,,analysis.era_tag_popularity,4,analysis.era_tag_popularity,4,False,False,False,True,True,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Woo Hah!! Got You All In Check,Busta Rhymes,183,225,18,centroid.anchor_tracks.audio_laion_clap,24,True,True,True,True,True,False,False,False,True,True,,,centroid.anchor_tracks.audio_laion_clap,18,centroid.anchor_tracks.audio_laion_clap,18,False,False,False,True,True,True,True,True,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",9,8,1,centroid.anchor_tracks.audio_laion_clap,24,True,True,True,True,True,True,True,True,True,True,,,centroid.anchor_tracks.audio_laion_clap,1,centroid.anchor_tracks.audio_laion_clap,1,False,False,False,True,True,True,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,23,False,False,False,True,True,False,False,False,False,False,,,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,101,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Without You,Christina Aguilera,,,1,analysis.scene_era_tag_popularity_v2,23,True,True,True,True,True,False,False,False,False,False,,,analysis.scene_era_tag_popularity_v2,1,analysis.scene_era_tag_popularity_v2,1,False,False,False,True,True,True,True,True,True
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,271,271,24,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,21,False,True,True,True,True,False,False,False,False,True,,,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,24,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,24,False,False,False,False,True,True,False,True,True
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Goodbye Pork Pie Hat,Charles Mingus,363,348,12,analysis.scene_era_tag_popularity_v2,23,True,True,True,True,True,False,False,False,False,True,,,analysis.scene_era_tag_popularity_v2,12,analysis.scene_era_tag_popularity_v2,12,False,False,False,True,True,True,True,True,True
5861afef-85c0-4163-b8b9-5a11e308f352::t4,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Carmesí,Vicente Garcia,163,178,65,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,23,False,False,True,True,True,False,False,False,True,True,,,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,65,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,65,False,False,False,False,False,True,False,False,True
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Hong Kong 2046,Hong Kong Express,,,334,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,23,False,False,False,False,True,False,False,False,False,False,,,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,334,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,334,False,False,False,False,False,False,False,False,False
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Sunrise - Slow Hands Remix,Kasper Bjørke,,,280,centroid.anchor_tracks.cf_bpr,24,False,False,False,False,True,False,False,False,False,False,,,centroid.anchor_tracks.cf_bpr,280,centroid.anchor_tracks.cf_bpr,280,False,False,False,False,False,False,False,False,False
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Sparks,Hilary Duff,195,396,2,analysis.query_text_tag_popularity,21,True,True,True,True,True,False,False,False,True,True,,,analysis.query_text_tag_popularity,2,analysis.query_text_tag_popularity,2,False,False,False,True,True,True,True,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Acknowledge,Masta Ace,376,525,148,analysis.artist_neighbor_scene_v2,24,False,False,False,True,True,False,False,False,False,True,,,analysis.artist_neighbor_scene_v2,148,analysis.artist_neighbor_scene_v2,148,False,False,False,False,False,False,False,False,False
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Two To Make It Right,Seduction,411,664,6,analysis.scene_era_tag_popularity_v2,24,True,True,True,True,True,False,False,False,False,True,,,analysis.scene_era_tag_popularity_v2,6,analysis.scene_era_tag_popularity_v2,6,False,False,False,True,True,True,True,True,True
ba68a3cc-5278-4680-917a-4ca66d33ef31::t5,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Buttons,The Pussycat Dolls,206,289,42,analysis.artist_tag_neighbor_popularity,24,False,True,True,True,True,False,False,False,False,True,,,analysis.artist_tag_neighbor_popularity,42,analysis.artist_tag_neighbor_popularity,42,False,False,False,False,True,True,False,True,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Love Train,The O'Jays,427,574,4,analysis.artist_tag_neighbor_popularity,24,True,True,True,True,True,False,False,False,False,True,,,analysis.artist_tag_neighbor_popularity,4,analysis.artist_tag_neighbor_popularity,4,False,False,False,True,True,True,True,True,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Leraine,Kettel,24,42,7,dense.clap_text.sonic_nl_enriched.audio_laion_clap,24,True,True,True,True,True,False,True,True,True,True,,,dense.clap_text.sonic_nl_enriched.audio_laion_clap,7,dense.clap_text.sonic_nl_enriched.audio_laion_clap,7,False,False,False,True,True,True,True,True,True
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Gangsta Gangsta,N.W.A.,,,20,analysis.artist_neighbor_scene_v2,25,True,True,True,True,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_v2,20,analysis.artist_neighbor_scene_v2,20,False,False,False,True,True,True,True,True,True
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Midnight,A Tribe Called Quest,,,177,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,24,False,False,False,True,True,False,False,False,False,False,,,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,177,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,177,False,False,False,False,False,False,False,False,False
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Dear Yvette,"Jane Doe, Masta Ace",,,,,22,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t3,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Conquest of Paradise,Vangelis,,,11,analysis.tag_popularity_alias,24,True,True,True,True,True,False,False,False,False,False,,,analysis.tag_popularity_alias,11,analysis.tag_popularity_alias,11,False,False,False,True,True,True,True,True,True
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Thriller,Fall Out Boy,,,22,analysis.scene_era_tag_popularity_v2,26,False,True,True,True,True,False,False,False,False,False,,,analysis.scene_era_tag_popularity_v2,22,analysis.scene_era_tag_popularity_v2,22,False,False,False,False,True,True,False,True,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Breath and Life,Audiomachine,371,243,26,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,21,False,True,True,True,True,False,False,False,False,True,,,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,26,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,26,False,False,False,False,True,True,False,True,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,I Juswanna Chill,Large Professor,805,498,227,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,24,False,False,False,False,True,False,False,False,False,True,,,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,227,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,227,False,False,False,False,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Constant Craving - Remastered,k.d. lang,937,508,5,analysis.artist_tag_neighbor_popularity,25,True,True,True,True,True,False,False,False,False,True,,,analysis.artist_tag_neighbor_popularity,5,analysis.artist_tag_neighbor_popularity,5,False,False,False,True,True,True,True,True,True
4d0afb6b-3705-493f-ab16-ca75ea311e1a::t7,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Pilot,"Benjamin Wallfisch, Hans Zimmer",69,5,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,23,True,True,True,True,True,False,False,True,True,True,baseline.dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,baseline.dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,True,True,True,True,True,True,True,True,True
1e14a07f-7369-4d24-9285-9343b6b18353::t8,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Nordlys,Myrkur,5,3,2,dense.siglip2_text.visual.image_siglip2,23,True,True,True,True,True,True,True,True,True,True,baseline.dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,1,dense.siglip2_text.visual.image_siglip2,2,baseline.dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,1,True,True,True,True,True,True,True,True,True
d265b5a9-af57-4070-90f5-692a960c5aaa::t6,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers) - Radio Edit,"Nile Rodgers, Pharrell Williams, Daft Punk",,,,,24,False,False,False,False,False,False,False,False,False,False,baseline.lookup.resolved_artist_discography,2,,,baseline.lookup.resolved_artist_discography,2,True,True,True,False,False,False,True,True,True
b2582e52-6d13-40b4-8552-2d8b63fa6c75::t8,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Soil,System Of A Down,,,,,23,False,False,False,False,False,False,False,False,False,False,baseline.bm25,2,,,baseline.bm25,2,True,True,True,False,False,False,True,True,True
d265b5a9-af57-4070-90f5-692a960c5aaa::t8,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Motherboard,Daft Punk,,,,,21,False,False,False,False,False,False,False,False,False,False,baseline.centroid.anchor_tracks.image_siglip2,2,,,baseline.centroid.anchor_tracks.image_siglip2,2,True,True,True,False,False,False,True,True,True
3a4224d3-1e5b-4bb9-a424-886d5c45d5d3::t8,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Brain Relaxation Sky,Sample Rain Library,15,10,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,24,True,True,True,True,True,True,True,True,True,True,baseline.dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,2,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,True,True,True,True,True,True,True,True,True
963b3ee7-17d1-4bb3-8a3f-0bc528a1f096::t5,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Go Go Gadget Flow,Lupe Fiasco,,,,,21,False,False,False,False,False,False,False,False,False,False,baseline.dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,2,,,baseline.dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,2,True,True,True,False,False,False,True,True,True
08bea603-846a-428b-aa27-de4dfede7ba9::t8,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Silhouette,Julia Holter,,,,,20,False,False,False,False,False,False,False,False,False,False,baseline.dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,2,,,baseline.dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,2,True,True,True,False,False,False,True,True,True
0fc60312-9a9d-4658-a950-06fc2441a2ac::t8,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Music Will Untune the Sky,Have A Nice Life,,,800,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,20,False,False,False,False,True,False,False,False,False,False,baseline.dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,2,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,800,baseline.dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,2,True,True,True,False,False,False,True,True,True
3ebc2b49-0f5c-4161-bbcf-e1615821103f::t2,P1_rejection_guardrail_failure,failure,all_candidate_plus_targeted_v4_hard_drop,The Animus 2.0,Jesper Kyd,6,5,2,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,23,True,True,True,True,True,True,True,True,True,True,baseline.dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,2,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,2,baseline.dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,2,True,True,True,True,True,True,True,True,True
37097db6-54b8-491b-8512-1df70648548b::t2,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,White Ferrari,Frank Ocean,6,6,1,dense.siglip2_text.visual.image_siglip2,24,True,True,True,True,True,True,True,True,True,True,baseline.centroid.anchor_tracks.image_siglip2,1,dense.siglip2_text.visual.image_siglip2,1,baseline.centroid.anchor_tracks.image_siglip2,1,True,True,True,True,True,True,True,True,True
f4115525-7e44-40df-8957-e38df99f214d::t4,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Young And Beautiful,Lana Del Rey,19,19,1,lookup.resolved_artist_discography,24,True,True,True,True,True,True,True,True,True,True,baseline.lookup.resolved_artist_discography,1,lookup.resolved_artist_discography,1,baseline.lookup.resolved_artist_discography,1,True,True,True,True,True,True,True,True,True
eee89ca2-fc86-4a9a-b4c5-2d77cb3346c8::t7,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,73,73,3,centroid.anchor_tracks.cf_bpr,23,True,True,True,True,True,False,False,True,True,True,baseline.lookup.resolved_artist_discography,1,centroid.anchor_tracks.cf_bpr,3,baseline.lookup.resolved_artist_discography,1,True,True,True,True,True,True,True,True,True
44c3948c-bc44-4e40-ae77-82c2fec9c944::t7,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Me Dediqué a Perderte,"Alejandro Fernandez, Alejandro Fernández",,,,,23,False,False,False,False,False,False,False,False,False,False,baseline.lookup.resolved_artist_discography,1,,,baseline.lookup.resolved_artist_discography,1,True,True,True,False,False,False,True,True,True
899f906b-9b0b-42a6-9689-643eb9f1ed31::t8,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Crawling,Linkin Park,,,,,24,False,False,False,False,False,False,False,False,False,False,baseline.centroid.anchor_tracks.image_siglip2,1,,,baseline.centroid.anchor_tracks.image_siglip2,1,True,True,True,False,False,False,True,True,True
93199894-d3db-4335-8278-e1be175944e4::t6,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Smells Like Teen Spirit,Nirvana,945,945,216,bm25,20,False,False,False,False,True,False,False,False,False,True,baseline.dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,1,bm25,216,baseline.dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,1,True,True,True,False,False,False,True,True,True
7d2bb60e-1046-4956-91d0-cf1dd73037cc::t3,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Hung Up,Madonna,1,1,1,lookup.resolved_artist_discography,24,True,True,True,True,True,True,True,True,True,True,baseline.lookup.resolved_artist_discography,1,lookup.resolved_artist_discography,1,baseline.lookup.resolved_artist_discography,1,True,True,True,True,True,True,True,True,True
1b406c88-9dfd-42cd-a1f5-9683f35f849b::t1,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,93 'Til Infinity,Souls Of Mischief,15,7,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,24,True,True,True,True,True,True,True,True,True,True,baseline.dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,baseline.dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,1,True,True,True,True,True,True,True,True,True
7be411cd-f002-459e-8326-3ebe8be10b42::t6,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Army Dreamers,Kate Bush,,,,,21,False,False,False,False,False,False,False,False,False,False,baseline.lookup.resolved_artist_discography,1,,,baseline.lookup.resolved_artist_discography,1,True,True,True,False,False,False,True,True,True
fc78453a-8798-4402-a01a-e9c557f08a03::t2,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,En el 2000,Natalia Lafourcade,32,32,1,bm25,22,True,True,True,True,True,False,True,True,True,True,baseline.bm25,1,bm25,1,baseline.bm25,1,True,True,True,True,True,True,True,True,True
84803908-48e7-41b7-9269-a465a44f4c10::t2,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Runaway,"Pusha T, Kanye West",25,15,1,centroid.anchor_tracks.image_siglip2,23,True,True,True,True,True,False,True,True,True,True,baseline.centroid.anchor_tracks.image_siglip2,1,centroid.anchor_tracks.image_siglip2,1,baseline.centroid.anchor_tracks.image_siglip2,1,True,True,True,True,True,True,True,True,True
6d825b33-dc20-4b3c-a277-0c8214163007::t6,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Super Rich Kids,"Frank Ocean, Earl Sweatshirt",,,2,analysis.same_album_fanout,24,True,True,True,True,True,False,False,False,False,False,baseline.centroid.anchor_tracks.image_siglip2,1,analysis.same_album_fanout,2,baseline.centroid.anchor_tracks.image_siglip2,1,True,True,True,True,True,True,True,True,True
942c0b23-c5ad-4270-b23f-3ba456ea0ccf::t5,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Alive,Pearl Jam,2,2,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,24,True,True,True,True,True,True,True,True,True,True,baseline.centroid.anchor_tracks.audio_laion_clap,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,1,baseline.centroid.anchor_tracks.audio_laion_clap,1,True,True,True,True,True,True,True,True,True
19c7e5bf-0797-40c5-b798-4d024af9558d::t4,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Satisfied,"Original Broadway Cast of Hamilton, Renée Elise Goldsberry",24,24,1,centroid.anchor_tracks.image_siglip2,23,True,True,True,True,True,False,True,True,True,True,baseline.centroid.anchor_tracks.image_siglip2,1,centroid.anchor_tracks.image_siglip2,1,baseline.centroid.anchor_tracks.image_siglip2,1,True,True,True,True,True,True,True,True,True
